"case_label","p","q","p_recovered","abs_error","p0","gamma","mu","sigma","facet"
"inv_B",0.5675,-0.738953610309536,0.5675,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.57125,-0.723278620104324,0.57125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.575,-0.707465926904005,0.575,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.57875,-0.691513089839884,0.57875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5825,-0.675417602563693,0.5825,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.58625,-0.659176890884345,0.58625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.59,-0.642788310297091,0.59,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.59375,-0.62624914339916,0.59375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.5975,-0.609556597185567,0.5975,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.60125,-0.592707800218352,0.60125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.605,-0.575699799662074,0.605,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.60875,-0.558529558177908,0.60875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.6125,-0.541193950668178,0.6125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.61625,-0.523689760862587,0.61625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.62,-0.506013677736831,0.62,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.62375,-0.488162291753609,0.62375,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.6275,-0.47013209091536,0.6275,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.63125,-0.451919456617308,0.63125,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.635,-0.43352065928854,0.635,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.63875,-0.41493185380801,0.63875,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.6425,-0.396149074681367,0.6425,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.64625,-0.37716823096346,0.64625,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_B",0.65,-0.357985100910282,0.65,0,0.5,0,-1,0.9,"inv_B
p0=0.50, gamma=0.000, mu=-1.00, sigma=0.90"
"inv_C",0.65,-0.266568511724472,0.650000001665983,1.66598346229563e-09,0.8,0.1,2.5,1.8,"inv_C
p0=0.80, gamma=0.100, mu=2.50, sigma=1.80"
"inv_C",0.651875,-0.228189587593079,0.651874996361354,3.63864594010721e-09,0.8,0.1,2.5,1.8,"inv_C
p0=0.80, gamma=0.100, mu=2.50, sigma=1.80"
"inv_C",0.65375,-0.189920902252197,0.653749990689827,9.31017274385937e-09,0.8,0.1,2.5,1.8,"inv_C
p0=0.80, gamma=0.100, mu=2.50, sigma=1.80"
"inv_C",0.655625,-0.151761651039124,0.655624993174117,6.82588341405221e-09,0.8,0.1,2.5,1.8,"inv_C
p0=0.80, gamma=0.100, mu=2.50, sigma=1.80"
"inv_C",0.6575,-0.113711297512054,0.65749999946541,5.34590371970012e-10,0.8,0.1,2.5,1.8,"inv_C
p0=0.80, gamma=0.100, mu=2.50, sigma=1.80"
