"x","cdf","gamma","gamma_label","p0"
-5.77333333333333,0.125845919405764,-1.01769180900079,"gamma = -1.018",0.6
-5.76,0.126470394407044,-1.01769180900079,"gamma = -1.018",0.6
-5.74666666666667,0.127097215046449,-1.01769180900079,"gamma = -1.018",0.6
-5.73333333333333,0.127726385466648,-1.01769180900079,"gamma = -1.018",0.6
-5.72,0.128357909788284,-1.01769180900079,"gamma = -1.018",0.6
-5.70666666666667,0.128991792109752,-1.01769180900079,"gamma = -1.018",0.6
-5.69333333333333,0.129628036506974,-1.01769180900079,"gamma = -1.018",0.6
-5.68,0.130266647033172,-1.01769180900079,"gamma = -1.018",0.6
-5.66666666666667,0.130907627718647,-1.01769180900079,"gamma = -1.018",0.6
-5.65333333333333,0.131550982570544,-1.01769180900079,"gamma = -1.018",0.6
-5.64,0.132196715572636,-1.01769180900079,"gamma = -1.018",0.6
-5.62666666666667,0.132844830685084,-1.01769180900079,"gamma = -1.018",0.6
-5.61333333333333,0.133495331844217,-1.01769180900079,"gamma = -1.018",0.6
-5.6,0.134148222962298,-1.01769180900079,"gamma = -1.018",0.6
-5.58666666666667,0.134803507927293,-1.01769180900079,"gamma = -1.018",0.6
-5.57333333333333,0.13546119060264,-1.01769180900079,"gamma = -1.018",0.6
-5.56,0.136121274827017,-1.01769180900079,"gamma = -1.018",0.6
-5.54666666666667,0.136783764414112,-1.01769180900079,"gamma = -1.018",0.6
-5.53333333333333,0.13744866315238,-1.01769180900079,"gamma = -1.018",0.6
-5.52,0.138115974804819,-1.01769180900079,"gamma = -1.018",0.6
-5.50666666666667,0.138785703108727,-1.01769180900079,"gamma = -1.018",0.6
-5.49333333333333,0.139457851775467,-1.01769180900079,"gamma = -1.018",0.6
-5.48,0.140132424490231,-1.01769180900079,"gamma = -1.018",0.6
-5.46666666666667,0.140809424911803,-1.01769180900079,"gamma = -1.018",0.6
-5.45333333333333,0.141488856672315,-1.01769180900079,"gamma = -1.018",0.6
-5.44,0.142170723377011,-1.01769180900079,"gamma = -1.018",0.6
-5.42666666666667,0.142855028604007,-1.01769180900079,"gamma = -1.018",0.6
-5.41333333333333,0.143541775904046,-1.01769180900079,"gamma = -1.018",0.6
