"x","cdf","case_label","p0","gamma","mu","sigma","facet"
-7.3,0.210069332381361,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.28,0.210543988444095,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.26,0.211019717002159,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.24,0.211496520478878,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.22,0.211974401303054,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.2,0.212453361908976,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.18,0.212933404736433,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.16,0.213414532230727,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.14,0.213896746842687,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.12,0.214380051028677,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.1,0.214864447250612,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.08,0.215349937975971,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.06,0.215836525677807,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.04,0.216324212834762,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7.02,0.216813001931077,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-7,0.217302895456608,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.98,0.217793895906835,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.96,0.218286005782878,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.94,0.218779227591509,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.92,0.219273563845161,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.9,0.219769017061947,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.88,0.220265589765668,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.86,0.220763284485829,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.84,0.22126210375765,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.82,0.221762050122078,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.8,0.222263126125803,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.78,0.222765334321268,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.76,0.223268677266685,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.74,0.223773157526045,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.72,0.224278777669132,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.7,0.224785540271538,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.68,0.225293447914673,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.66,0.225802503185782,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.64,0.226312708677953,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.62,0.226824066990135,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.6,0.22733658072715,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.58,0.227850252499703,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.56,0.2283650849244,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.54,0.22888108062376,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.52,0.229398242226226,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.5,0.22991657236618,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.48,0.230436073683957,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.46,0.230956748825858,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.44,0.231478600444163,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.42,0.232001631197146,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.4,0.232525843749086,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.38,0.233051240770282,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.36,0.233577824937068,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.34,0.234105598931824,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.32,0.234634565442992,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.3,0.235164727165086,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.28,0.235696086798712,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.26,0.236228647050575,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.24,0.236762410633497,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.22,0.237297380266431,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.2,0.237833558674472,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.18,0.238370948588872,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.16,0.238909552747055,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.14,0.239449373892631,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.12,0.239990414775408,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.1,0.240532678151409,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.08,0.241076166782881,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.06,0.241620883438316,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.04,0.242166830892459,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6.02,0.242714011926326,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-6,0.243262429327217,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-5.98,0.243812085888728,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
-5.96,0.244362984410768,"case_A",0.6,0.45,2,1.5,"case_A
p0=0.60, gamma=0.450, mu=2.00, sigma=1.50"
